"title","category","rank","profile","outcome","reason","hostMs","uniqueFrames"
"Glance","watchapps-and-companions","17","qemu_emery","no-compatible-binary","Error: This PBW has no emery manifest.","156.37737300000003","0"
"Glance","watchapps-and-companions","17","qemu_flint","no-compatible-binary","Error: This PBW has no flint manifest.","160.13681199999996","0"
"Glance","watchapps-and-companions","17","qemu_gabbro","no-compatible-binary","Error: This PBW has no gabbro manifest.","135.909993","0"
"FitCat","watchapps-and-companions","18","qemu_emery","no-compatible-binary","Error: This PBW has no emery manifest.","134.00348899999995","0"
"FitCat","watchapps-and-companions","18","qemu_flint","no-compatible-binary","Error: This PBW has no flint manifest.","133.930611","0"
"FitCat","watchapps-and-companions","18","qemu_gabbro","no-compatible-binary","Error: This PBW has no gabbro manifest.","142.64321300000006","0"
"PinyWings","watchapps-and-companions","19","qemu_emery","no-compatible-binary","Error: This PBW has no emery manifest.","134.41707300000007","0"
"PinyWings","watchapps-and-companions","19","qemu_flint","no-compatible-binary","Error: This PBW has no flint manifest.","143.12965200000008","0"
"PinyWings","watchapps-and-companions","19","qemu_gabbro","no-compatible-binary","Error: This PBW has no gabbro manifest.","145.6949450000002","0"
"Swarm by Foursquare","watchapps-and-companions","20","qemu_emery","no-compatible-binary","Error: This application targets a different watch platform; emery is required.","122.05131699999993","0"
"Swarm by Foursquare","watchapps-and-companions","20","qemu_flint","no-compatible-binary","Error: This application targets a different watch platform; flint is required.","124.45812800000022","0"
"Swarm by Foursquare","watchapps-and-companions","20","qemu_gabbro","no-compatible-binary","Error: This application targets a different watch platform; gabbro is required.","141.23771799999986","0"
"Weather","watchapps-and-companions","21","qemu_emery","scenario-completed","","27745.306366","109"
"Weather","watchapps-and-companions","21","qemu_flint","no-compatible-binary","Error: This PBW has no flint manifest.","145.24462200000198","0"
"Weather","watchapps-and-companions","21","qemu_gabbro","no-compatible-binary","Error: This PBW has no gabbro manifest.","135.82448300000033","0"
"Steps - stopwatch with step counter (pedometer) that works without phone","watchapps-and-companions","22","qemu_emery","no-compatible-binary","Error: This PBW has no emery manifest.","156.2261980000003","0"
"Steps - stopwatch with step counter (pedometer) that works without phone","watchapps-and-companions","22","qemu_flint","no-compatible-binary","Error: This PBW has no flint manifest.","145.08682600000247","0"
"Steps - stopwatch with step counter (pedometer) that works without phone","watchapps-and-companions","22","qemu_gabbro","no-compatible-binary","Error: This PBW has no gabbro manifest.","149.26872899999944","0"
"Checklist","watchapps-and-companions","23","qemu_emery","scenario-completed","","28163.445841999997","110"
"Checklist","watchapps-and-companions","23","qemu_flint","scenario-completed","","24107.590578000003","90"
"Checklist","watchapps-and-companions","23","qemu_gabbro","scenario-completed","","25806.788025","82"
"Pedometer","watchapps-and-companions","24","qemu_emery","no-compatible-binary","Error: This application targets a different watch platform; emery is required.","145.17251599999872","0"
"Pedometer","watchapps-and-companions","24","qemu_flint","no-compatible-binary","Error: This application targets a different watch platform; flint is required.","143.35782200000176","0"
"Pedometer","watchapps-and-companions","24","qemu_gabbro","no-compatible-binary","Error: This application targets a different watch platform; gabbro is required.","150.91395399999965","0"
"Battery lifetime (color)","watchapps-and-companions","25","qemu_emery","no-compatible-binary","Error: This application targets a different watch platform; emery is required.","147.16327099999762","0"
"Battery lifetime (color)","watchapps-and-companions","25","qemu_flint","no-compatible-binary","Error: This application targets a different watch platform; flint is required.","149.4032359999983","0"
"Battery lifetime (color)","watchapps-and-companions","25","qemu_gabbro","no-compatible-binary","Error: This application targets a different watch platform; gabbro is required.","139.98994799999855","0"
"Dashboard","watchapps-and-companions","26","qemu_emery","no-compatible-binary","Error: This PBW has no emery manifest.","140.236283000002","0"
"Dashboard","watchapps-and-companions","26","qemu_flint","no-compatible-binary","Error: This PBW has no flint manifest.","139.32577500000116","0"
"Dashboard","watchapps-and-companions","26","qemu_gabbro","no-compatible-binary","Error: This PBW has no gabbro manifest.","141.14993500000128","0"
"GoPro","watchapps-and-companions","27","qemu_emery","no-compatible-binary","Error: This application targets a different watch platform; emery is required.","147.96849199999997","0"
"GoPro","watchapps-and-companions","27","qemu_flint","no-compatible-binary","Error: This application targets a different watch platform; flint is required.","140.75760000000082","0"
"GoPro","watchapps-and-companions","27","qemu_gabbro","no-compatible-binary","Error: This application targets a different watch platform; gabbro is required.","141.29893699999957","0"
"Multi Timer","watchapps-and-companions","28","qemu_emery","no-compatible-binary","Error: This application targets a different watch platform; emery is required.","145.15511600000173","0"
"Multi Timer","watchapps-and-companions","28","qemu_flint","no-compatible-binary","Error: This application targets a different watch platform; flint is required.","144.68856900000173","0"
"Multi Timer","watchapps-and-companions","28","qemu_gabbro","no-compatible-binary","Error: This application targets a different watch platform; gabbro is required.","138.33273800000097","0"
"Obelisk","watchapps-and-companions","29","qemu_emery","scenario-completed","","78572.14555799999","50"
"Obelisk","watchapps-and-companions","29","qemu_flint","no-compatible-binary","Error: This PBW has no flint manifest.","190.141936","0"
"Obelisk","watchapps-and-companions","29","qemu_gabbro","no-compatible-binary","Error: This PBW has no gabbro manifest.","191.93378100000336","0"
"7-Minute+","watchapps-and-companions","30","qemu_emery","no-compatible-binary","Error: This application targets a different watch platform; emery is required.","165.81415800000104","0"
"7-Minute+","watchapps-and-companions","30","qemu_flint","no-compatible-binary","Error: This application targets a different watch platform; flint is required.","152.315891000002","0"
"7-Minute+","watchapps-and-companions","30","qemu_gabbro","no-compatible-binary","Error: This application targets a different watch platform; gabbro is required.","139.6462759999995","0"
"Mr. Runner","watchapps-and-companions","31","qemu_emery","no-compatible-binary","Error: This PBW has no emery manifest.","150.4396889999989","0"
"Mr. Runner","watchapps-and-companions","31","qemu_flint","no-compatible-binary","Error: This PBW has no flint manifest.","151.28683499999897","0"
"Mr. Runner","watchapps-and-companions","31","qemu_gabbro","no-compatible-binary","Error: This PBW has no gabbro manifest.","174.08401199999935","0"
"Gentle Wake (Daily Smart Alarm Clock with Sleep Monitoring)","watchapps-and-companions","32","qemu_emery","no-compatible-binary","Error: This PBW has no emery manifest.","152.2829750000019","0"
"Gentle Wake (Daily Smart Alarm Clock with Sleep Monitoring)","watchapps-and-companions","32","qemu_flint","no-compatible-binary","Error: This PBW has no flint manifest.","146.89127900000312","0"
"Gentle Wake (Daily Smart Alarm Clock with Sleep Monitoring)","watchapps-and-companions","32","qemu_gabbro","no-compatible-binary","Error: This PBW has no gabbro manifest.","163.58125999999902","0"
"Football Pal","watchapps-and-companions","33","qemu_emery","no-compatible-binary","Error: This PBW has no emery manifest.","200.24040799999784","0"
"Football Pal","watchapps-and-companions","33","qemu_flint","no-compatible-binary","Error: This PBW has no flint manifest.","183.3589060000013","0"
"Football Pal","watchapps-and-companions","33","qemu_gabbro","no-compatible-binary","Error: This PBW has no gabbro manifest.","175.1560079999981","0"
"Authenticator","watchapps-and-companions","34","qemu_emery","no-compatible-binary","Error: This PBW has no emery manifest.","159.86081999999806","0"
"Authenticator","watchapps-and-companions","34","qemu_flint","no-compatible-binary","Error: This PBW has no flint manifest.","155.00192600000082","0"
"Authenticator","watchapps-and-companions","34","qemu_gabbro","no-compatible-binary","Error: This PBW has no gabbro manifest.","176.67521900000065","0"
"JavaPay","watchapps-and-companions","35","qemu_emery","no-compatible-binary","Error: This application targets a different watch platform; emery is required.","167.7268929999991","0"
"JavaPay","watchapps-and-companions","35","qemu_flint","no-compatible-binary","Error: This application targets a different watch platform; flint is required.","161.64240900000004","0"
"JavaPay","watchapps-and-companions","35","qemu_gabbro","no-compatible-binary","Error: This application targets a different watch platform; gabbro is required.","158.2985570000019","0"
"Note To Self","watchapps-and-companions","36","qemu_emery","execution-stopped","Error: TypeError: cannot read property 'charAt' of null
    at <anonymous> (pebble-js-app.js:63:9)
    at dispatch (virtual-phone-bootstrap.js:318:119)
    at configurationClosed (virtual-phone-bootstrap.js:384:180)
","25943.936912999998","104"
"Note To Self","watchapps-and-companions","36","qemu_flint","no-compatible-binary","Error: This PBW has no flint manifest.","157.65672099999938","0"
"Note To Self","watchapps-and-companions","36","qemu_gabbro","no-compatible-binary","Error: This PBW has no gabbro manifest.","157.85577900000135","0"
"MiniDungeon","watchapps-and-companions","37","qemu_emery","no-compatible-binary","Error: This PBW has no emery manifest.","156.49280599999838","0"
"MiniDungeon","watchapps-and-companions","37","qemu_flint","no-compatible-binary","Error: This PBW has no flint manifest.","160.9106329999995","0"
"MiniDungeon","watchapps-and-companions","37","qemu_gabbro","no-compatible-binary","Error: This PBW has no gabbro manifest.","155.89303999999902","0"
"Watchie-Talkie","watchapps-and-companions","38","qemu_emery","execution-stopped","Error: TypeError: not a function
    at <anonymous> (<input>:87:26)
    at dispatch (virtual-phone-bootstrap.js:318:119)
    at ready (virtual-phone-bootstrap.js:378:47)
","16635.003475999998","30"
"Watchie-Talkie","watchapps-and-companions","38","qemu_flint","no-compatible-binary","Error: This PBW has no flint manifest.","161.93873200000235","0"
"Watchie-Talkie","watchapps-and-companions","38","qemu_gabbro","no-compatible-binary","Error: This PBW has no gabbro manifest.","131.65810599999895","0"
"WW - Weather Watch","watchapps-and-companions","39","qemu_emery","no-compatible-binary","Error: This application targets a different watch platform; emery is required.","154.1544580000009","0"
"WW - Weather Watch","watchapps-and-companions","39","qemu_flint","no-compatible-binary","Error: This application targets a different watch platform; flint is required.","138.60518700000102","0"
"WW - Weather Watch","watchapps-and-companions","39","qemu_gabbro","no-compatible-binary","Error: This application targets a different watch platform; gabbro is required.","160.16941700000098","0"
"Alarms++","watchapps-and-companions","40","qemu_emery","scenario-completed","","34956.123944000006","97"
"Alarms++","watchapps-and-companions","40","qemu_flint","no-compatible-binary","Error: This PBW has no flint manifest.","177.7578450000001","0"
"Alarms++","watchapps-and-companions","40","qemu_gabbro","no-compatible-binary","Error: This PBW has no gabbro manifest.","161.79840899999908","0"
"Notes","watchapps-and-companions","41","qemu_emery","no-compatible-binary","Error: This PBW has no emery manifest.","177.75573000000077","0"
"Notes","watchapps-and-companions","41","qemu_flint","no-compatible-binary","Error: This PBW has no flint manifest.","160.71853399999964","0"
"Notes","watchapps-and-companions","41","qemu_gabbro","no-compatible-binary","Error: This PBW has no gabbro manifest.","169.76541799999904","0"
"Watchfaces+ Color","watchapps-and-companions","42","qemu_emery","no-compatible-binary","Error: This PBW has no emery manifest.","164.22428500000024","0"
"Watchfaces+ Color","watchapps-and-companions","42","qemu_flint","no-compatible-binary","Error: This PBW has no flint manifest.","149.76233200000206","0"
"Watchfaces+ Color","watchapps-and-companions","42","qemu_gabbro","no-compatible-binary","Error: This PBW has no gabbro manifest.","177.02897500000108","0"
"7-Minute Workout","watchapps-and-companions","43","qemu_emery","no-compatible-binary","Error: This PBW has no emery manifest.","178.2630969999991","0"
"7-Minute Workout","watchapps-and-companions","43","qemu_flint","no-compatible-binary","Error: This PBW has no flint manifest.","147.0801050000009","0"
"7-Minute Workout","watchapps-and-companions","43","qemu_gabbro","no-compatible-binary","Error: This PBW has no gabbro manifest.","150.99787600000127","0"
"Voice2Timeline","watchapps-and-companions","44","qemu_emery","no-compatible-binary","Error: This PBW has no emery manifest.","166.32776999999987","0"
"Voice2Timeline","watchapps-and-companions","44","qemu_flint","no-compatible-binary","Error: This PBW has no flint manifest.","161.67248599999948","0"
"Voice2Timeline","watchapps-and-companions","44","qemu_gabbro","no-compatible-binary","Error: This PBW has no gabbro manifest.","166.3678629999995","0"
"Blocks","watchapps-and-companions","45","qemu_emery","no-compatible-binary","Error: This PBW has no emery manifest.","163.75852999999915","0"
"Blocks","watchapps-and-companions","45","qemu_flint","no-compatible-binary","Error: This PBW has no flint manifest.","142.82821900000272","0"
"Blocks","watchapps-and-companions","45","qemu_gabbro","no-compatible-binary","Error: This PBW has no gabbro manifest.","161.48533400000088","0"
"Hatchi - A retro virtual pet","watchapps-and-companions","46","qemu_emery","no-compatible-binary","Error: This application targets a different watch platform; emery is required.","179.7028369999971","0"
"Hatchi - A retro virtual pet","watchapps-and-companions","46","qemu_flint","no-compatible-binary","Error: This application targets a different watch platform; flint is required.","177.87802700000248","0"
"Hatchi - A retro virtual pet","watchapps-and-companions","46","qemu_gabbro","no-compatible-binary","Error: This application targets a different watch platform; gabbro is required.","155.83848600000056","0"
"Rain","watchapps-and-companions","47","qemu_emery","execution-stopped","Error: Virtual phone stopped after an execution error.","20106.493906","37"
"Rain","watchapps-and-companions","47","qemu_flint","no-compatible-binary","Error: This PBW has no flint manifest.","177.76920400000017","0"
"Rain","watchapps-and-companions","47","qemu_gabbro","no-compatible-binary","Error: This PBW has no gabbro manifest.","186.71057799999835","0"
"LAST SIGNAL","watchapps-and-companions","48","qemu_emery","no-compatible-binary","Error: This PBW has no emery manifest.","161.48003000000244","0"
"LAST SIGNAL","watchapps-and-companions","48","qemu_flint","no-compatible-binary","Error: This PBW has no flint manifest.","149.67762700000094","0"
"LAST SIGNAL","watchapps-and-companions","48","qemu_gabbro","no-compatible-binary","Error: This PBW has no gabbro manifest.","177.22195199999987","0"
"My Steps","watchapps-and-companions","49","qemu_emery","no-compatible-binary","Error: This PBW has no emery manifest.","178.08690800000113","0"
"My Steps","watchapps-and-companions","49","qemu_flint","no-compatible-binary","Error: This PBW has no flint manifest.","151.10833600000115","0"
"My Steps","watchapps-and-companions","49","qemu_gabbro","no-compatible-binary","Error: This PBW has no gabbro manifest.","142.65184000000227","0"
"PebbCN","watchapps-and-companions","50","qemu_emery","no-compatible-binary","Error: This application targets a different watch platform; emery is required.","158.11052299999938","0"
"PebbCN","watchapps-and-companions","50","qemu_flint","no-compatible-binary","Error: This application targets a different watch platform; flint is required.","154.72601999999824","0"
"PebbCN","watchapps-and-companions","50","qemu_gabbro","no-compatible-binary","Error: This application targets a different watch platform; gabbro is required.","156.09408199999962","0"
"Ventoo - GPS sports tracker","watchapps-and-companions","51","qemu_emery","no-compatible-binary","Error: This PBW has no emery manifest.","169.52452500000072","0"
"Ventoo - GPS sports tracker","watchapps-and-companions","51","qemu_flint","no-compatible-binary","Error: This PBW has no flint manifest.","192.2926469999984","0"
"Ventoo - GPS sports tracker","watchapps-and-companions","51","qemu_gabbro","no-compatible-binary","Error: This PBW has no gabbro manifest.","174.94661500000075","0"
"Directions","watchapps-and-companions","52","qemu_emery","no-compatible-binary","Error: This application targets a different watch platform; emery is required.","155.08168999999907","0"
"Directions","watchapps-and-companions","52","qemu_flint","no-compatible-binary","Error: This application targets a different watch platform; flint is required.","174.07077700000082","0"
"Directions","watchapps-and-companions","52","qemu_gabbro","no-compatible-binary","Error: This application targets a different watch platform; gabbro is required.","174.7638279999992","0"
"QR Generator","watchapps-and-companions","53","qemu_emery","scenario-completed","","28503.783734","103"
"QR Generator","watchapps-and-companions","53","qemu_flint","no-compatible-binary","Error: This PBW has no flint manifest.","161.50966899999912","0"
"QR Generator","watchapps-and-companions","53","qemu_gabbro","no-compatible-binary","Error: This PBW has no gabbro manifest.","171.0282249999982","0"
"Swim.com","watchapps-and-companions","54","qemu_emery","no-compatible-binary","Error: This PBW has no emery manifest.","169.73357399999804","0"
"Swim.com","watchapps-and-companions","54","qemu_flint","no-compatible-binary","Error: This PBW has no flint manifest.","153.8571520000005","0"
"Swim.com","watchapps-and-companions","54","qemu_gabbro","no-compatible-binary","Error: This PBW has no gabbro manifest.","154.97432400000253","0"
"Games for Pebble","watchapps-and-companions","55","qemu_emery","no-compatible-binary","Error: This PBW has no emery manifest.","145.6912640000046","0"
"Games for Pebble","watchapps-and-companions","55","qemu_flint","no-compatible-binary","Error: This PBW has no flint manifest.","165.11264099999607","0"
"Games for Pebble","watchapps-and-companions","55","qemu_gabbro","no-compatible-binary","Error: This PBW has no gabbro manifest.","140.88293800000247","0"
"Pokémon GO Radar (BETA)","watchapps-and-companions","56","qemu_emery","no-compatible-binary","Error: This PBW has no emery manifest.","193.92255200000363","0"
"Pokémon GO Radar (BETA)","watchapps-and-companions","56","qemu_flint","no-compatible-binary","Error: This PBW has no flint manifest.","181.41150899999775","0"
"Pokémon GO Radar (BETA)","watchapps-and-companions","56","qemu_gabbro","no-compatible-binary","Error: This PBW has no gabbro manifest.","164.87403900000209","0"
"Rosewright Chronograph","watchapps-and-companions","57","qemu_emery","execution-stopped","Error: TypeError: cannot read property 'replace' of undefined
    at initialize (pebble-js-app.js:242:52)
    at <anonymous> (pebble-js-app.js:339:15)
    at dispatch (virtual-phone-bootstrap.js:318:119)
    at ready (virtual-phone-bootstrap.js:378:47)
","26512.019556","47"
"Rosewright Chronograph","watchapps-and-companions","57","qemu_flint","no-compatible-binary","Error: This PBW has no flint manifest.","191.08507599999575","0"
"Rosewright Chronograph","watchapps-and-companions","57","qemu_gabbro","execution-stopped","Error: TypeError: cannot read property 'replace' of undefined
    at initialize (pebble-js-app.js:242:52)
    at <anonymous> (pebble-js-app.js:339:15)
    at dispatch (virtual-phone-bootstrap.js:318:119)
    at ready (virtual-phone-bootstrap.js:378:47)
","28102.976965","46"
"Pebtris","watchapps-and-companions","58","qemu_emery","no-compatible-binary","Error: This application targets a different watch platform; emery is required.","148.16524099999515","0"
"Pebtris","watchapps-and-companions","58","qemu_flint","no-compatible-binary","Error: This application targets a different watch platform; flint is required.","140.70597300000372","0"
"Pebtris","watchapps-and-companions","58","qemu_gabbro","no-compatible-binary","Error: This application targets a different watch platform; gabbro is required.","143.51871199999732","0"
"Twebble","watchapps-and-companions","59","qemu_emery","no-compatible-binary","Error: This application targets a different watch platform; emery is required.","129.41466700000456","0"
"Twebble","watchapps-and-companions","59","qemu_flint","no-compatible-binary","Error: This application targets a different watch platform; flint is required.","138.93943500000023","0"
"Twebble","watchapps-and-companions","59","qemu_gabbro","no-compatible-binary","Error: This application targets a different watch platform; gabbro is required.","133.9024900000004","0"
"Huebble","watchapps-and-companions","60","qemu_emery","no-compatible-binary","Error: This application targets a different watch platform; emery is required.","142.76058500000363","0"
"Huebble","watchapps-and-companions","60","qemu_flint","no-compatible-binary","Error: This application targets a different watch platform; flint is required.","143.44400600000517","0"
"Huebble","watchapps-and-companions","60","qemu_gabbro","no-compatible-binary","Error: This application targets a different watch platform; gabbro is required.","146.0806969999976","0"
"World Cup 2014","watchapps-and-companions","61","qemu_emery","no-compatible-binary","Error: This application targets a different watch platform; emery is required.","143.57537500000035","0"
"World Cup 2014","watchapps-and-companions","61","qemu_flint","no-compatible-binary","Error: This application targets a different watch platform; flint is required.","140.24189900000056","0"
"World Cup 2014","watchapps-and-companions","61","qemu_gabbro","no-compatible-binary","Error: This application targets a different watch platform; gabbro is required.","133.79073400000198","0"
"Muninn - Battery Wisdom","watchapps-and-companions","62","qemu_emery","scenario-completed","","29937.422808000003","111"
"Muninn - Battery Wisdom","watchapps-and-companions","62","qemu_flint","scenario-completed","","24834.914047","92"
"Muninn - Battery Wisdom","watchapps-and-companions","62","qemu_gabbro","scenario-completed","","27533.362194","72"
"My World","watchapps-and-companions","63","qemu_emery","no-compatible-binary","Error: This application targets a different watch platform; emery is required.","146.4051150000014","0"
"My World","watchapps-and-companions","63","qemu_flint","no-compatible-binary","Error: This application targets a different watch platform; flint is required.","145.1451270000034","0"
"My World","watchapps-and-companions","63","qemu_gabbro","no-compatible-binary","Error: This application targets a different watch platform; gabbro is required.","138.02047799999855","0"
"Notify","watchapps-and-companions","64","qemu_emery","no-compatible-binary","Error: This application targets a different watch platform; emery is required.","150.10951200000272","0"
"Notify","watchapps-and-companions","64","qemu_flint","no-compatible-binary","Error: This application targets a different watch platform; flint is required.","147.3979859999963","0"
"Notify","watchapps-and-companions","64","qemu_gabbro","no-compatible-binary","Error: This application targets a different watch platform; gabbro is required.","152.00488100000075","0"
"Pebblemon","watchapps-and-companions","65","qemu_emery","scenario-completed","","93088.56521000002","67"
"Pebblemon","watchapps-and-companions","65","qemu_flint","scenario-completed","","85805.045086","83"
"Pebblemon","watchapps-and-companions","65","qemu_gabbro","scenario-completed","","92909.440616","63"
"skunk","watchapps-and-companions","66","qemu_emery","scenario-completed","","26219.203016999993","106"
"skunk","watchapps-and-companions","66","qemu_flint","no-compatible-binary","Error: This PBW has no flint manifest.","156.88001399999484","0"
"skunk","watchapps-and-companions","66","qemu_gabbro","no-compatible-binary","Error: This PBW has no gabbro manifest.","146.79453300000023","0"
"Qibla - Prayer Times & Compass","watchapps-and-companions","67","qemu_emery","no-compatible-binary","Error: This PBW has no emery manifest.","146.6110770000014","0"
"Qibla - Prayer Times & Compass","watchapps-and-companions","67","qemu_flint","no-compatible-binary","Error: This PBW has no flint manifest.","154.13935199999833","0"
"Qibla - Prayer Times & Compass","watchapps-and-companions","67","qemu_gabbro","no-compatible-binary","Error: This PBW has no gabbro manifest.","142.90596099999675","0"
"News Headlines","watchapps-and-companions","68","qemu_emery","scenario-completed","","26614.141945000003","108"
"News Headlines","watchapps-and-companions","68","qemu_flint","scenario-completed","","22563.504015","89"
"News Headlines","watchapps-and-companions","68","qemu_gabbro","no-compatible-binary","Error: This PBW has no gabbro manifest.","137.1444210000045","0"
"Solanum","watchapps-and-companions","69","qemu_emery","scenario-completed","","32992.864449999994","112"
"Solanum","watchapps-and-companions","69","qemu_flint","no-compatible-binary","Error: This PBW has no flint manifest.","221.62506700000085","0"
"Solanum","watchapps-and-companions","69","qemu_gabbro","no-compatible-binary","Error: This PBW has no gabbro manifest.","196.6344270000045","0"
"Sleeper","watchapps-and-companions","70","qemu_emery","no-compatible-binary","Error: This application targets a different watch platform; emery is required.","154.0613200000007","0"
"Sleeper","watchapps-and-companions","70","qemu_flint","no-compatible-binary","Error: This application targets a different watch platform; flint is required.","158.98067000000447","0"
"Sleeper","watchapps-and-companions","70","qemu_gabbro","no-compatible-binary","Error: This application targets a different watch platform; gabbro is required.","148.05812599999626","0"
"Translate (Vox Populi)","watchapps-and-companions","71","qemu_emery","no-compatible-binary","Error: This PBW has no emery manifest.","167.26475100000243","0"
"Translate (Vox Populi)","watchapps-and-companions","71","qemu_flint","no-compatible-binary","Error: This PBW has no flint manifest.","159.45692500000587","0"
"Translate (Vox Populi)","watchapps-and-companions","71","qemu_gabbro","no-compatible-binary","Error: This PBW has no gabbro manifest.","155.45840099999623","0"
